"","diff","uuid","enum","issue"
"1",-1468.30145000219,"e388ef87-d927-4e7b-83b8-64589e5d4d89 | c51e49d6-0ea8-4a29-9497-2ef68064ad90","agadez_1","Rien a signalé"
"2",-43.2410666624705,"c51e49d6-0ea8-4a29-9497-2ef68064ad90 | 27e7b0e7-221d-4f83-9f83-555dd94bf6b6","agadez_1","Rien a signalé"
"3",264.782366665204,"04ba16eb-2388-4f4b-b1bf-3bbc335a3267 | ee81f5d4-4911-4692-af85-63883bbd69ff","agadez_10","l'enquete a commencé avant la fin de l'enquete precedente"
"4",-38.9978833317757,"ee81f5d4-4911-4692-af85-63883bbd69ff | 6d30b7a9-b6a4-4651-aecc-3a3982ca3d5b","agadez_10","Rien a signalé"
"5",-1307.29231666724,"6d30b7a9-b6a4-4651-aecc-3a3982ca3d5b | f5129aac-ffbf-45ea-ade9-a0215565b39e","agadez_10","Rien a signalé"
"6",-88.4754333337148,"f5129aac-ffbf-45ea-ade9-a0215565b39e | 0c88ad34-0acf-4553-9334-2fa837a7747c","agadez_10","Rien a signalé"
"7",-4.05623333454132,"295a2037-4387-4204-84a0-fc9281951c97 | 0c927460-f67d-4ae7-9d8e-53840097f05b","agadez_12","temps entre deux enquetes succesives court"
"8",-1455.58049999873,"8b28dbe6-909e-4e59-9493-4598cc051d12 | 87ade999-effb-48a7-8f77-cbe6db16e88f","agadez_13","Rien a signalé"
"9",-16.3966333349546,"87ade999-effb-48a7-8f77-cbe6db16e88f | 40dfae77-ab2b-41b8-b7b1-243dcdcb63c1","agadez_13","Rien a signalé"
"10",149.846783336004,"8862cd88-1a32-49e3-aa96-aa35fc90b89c | 94cf8853-0b79-4449-ac60-be59820d7875","agadez_3","l'enquete a commencé avant la fin de l'enquete precedente"
"11",-3.41156666676203,"94cf8853-0b79-4449-ac60-be59820d7875 | 377d2200-8aa6-42df-b04a-7002359ee4ee","agadez_3","temps entre deux enquetes succesives court"
"12",-1.24081666469574,"377d2200-8aa6-42df-b04a-7002359ee4ee | 6b420fa7-9764-44df-8fd2-23bf5348fd01","agadez_3","temps entre deux enquetes succesives court"
"13",-1403.40486666759,"3f3a1174-3177-4ace-96f7-edbfc4a904de | ce1189e2-32fa-43f1-9d57-1c94ef61cdf9","agadez_7","Rien a signalé"
"14",-11.6043166677157,"ce1189e2-32fa-43f1-9d57-1c94ef61cdf9 | 53e2de03-1a14-4eea-aba3-a11cac3d212c","agadez_7","Rien a signalé"
"15",-112.525099996726,"53e2de03-1a14-4eea-aba3-a11cac3d212c | 1b501fea-c782-4c8d-874f-146c28a1809b","agadez_7","Rien a signalé"
"16",-6.774933330218,"7c4f5d64-eabb-4477-bb1a-e20622ea8ed2 | 4ecd42e4-029f-4755-99c5-32495c7db0d3","agadez_8","Rien a signalé"
"17",-0.205116669336955,"4ecd42e4-029f-4755-99c5-32495c7db0d3 | eed00c9c-c914-4382-8895-645855af9542","agadez_8","temps entre deux enquetes succesives court"
"18",-1208.31875,"eed00c9c-c914-4382-8895-645855af9542 | 450faec3-5e97-4782-a795-3904e0f2ff2d","agadez_8","Rien a signalé"
"19",-84.5963999986649,"450faec3-5e97-4782-a795-3904e0f2ff2d | 9852d41d-0519-4ef0-ac06-ef12e70daaf5","agadez_8","Rien a signalé"
"20",-96.5294666687648,"9852d41d-0519-4ef0-ac06-ef12e70daaf5 | d50e256d-9946-46aa-88de-49c5fd05b0c2","agadez_8","Rien a signalé"
"21",511.655049999555,"8c699775-181d-433a-8870-eae97fd7149b | 91d47d1e-186b-4a65-a09f-e708bc31eb99","maradi_1","l'enquete a commencé avant la fin de l'enquete precedente"
"22",444.749416665236,"91d47d1e-186b-4a65-a09f-e708bc31eb99 | 3ee989b5-dd1e-45f6-bf62-3c0dbb064e52","maradi_1","l'enquete a commencé avant la fin de l'enquete precedente"
"23",421.369550005595,"3ee989b5-dd1e-45f6-bf62-3c0dbb064e52 | 544e51fe-83d2-4147-86f4-ca98495d61a3","maradi_1","l'enquete a commencé avant la fin de l'enquete precedente"
"24",525.84216666619,"544e51fe-83d2-4147-86f4-ca98495d61a3 | 099f013a-7b6a-4131-8b8c-b07503ef40cd","maradi_1","l'enquete a commencé avant la fin de l'enquete precedente"
"25",373.544866665204,"099f013a-7b6a-4131-8b8c-b07503ef40cd | fd3634e2-8039-4994-a300-d6c514d78af2","maradi_1","l'enquete a commencé avant la fin de l'enquete precedente"
"26",426.581816665332,"fd3634e2-8039-4994-a300-d6c514d78af2 | 9c22161e-dff1-47e5-919e-eeedfee77921","maradi_1","l'enquete a commencé avant la fin de l'enquete precedente"
"27",-645.4959166646,"9c22161e-dff1-47e5-919e-eeedfee77921 | 67a39159-7234-46c7-8b1f-a61e8c70acdb","maradi_1","Rien a signalé"
"28",-75.9721833348274,"67a39159-7234-46c7-8b1f-a61e8c70acdb | 6a98e1fd-d5b4-41ef-9f7f-c6f13eb54b74","maradi_1","Rien a signalé"
"29",-59.9056500037511,"6a98e1fd-d5b4-41ef-9f7f-c6f13eb54b74 | 1dfaa9b5-19ec-4e97-b875-2f253019d198","maradi_1","Rien a signalé"
"30",-50.1330499966939,"ad94328e-9658-491b-89a7-b95d21209f94 | cb86da67-7d96-45f1-9414-2dcf6222d19b","maradi_10","Rien a signalé"
"31",-42.0500500003497,"cb86da67-7d96-45f1-9414-2dcf6222d19b | 01cf6035-c47e-4038-b8b3-3460e44f4085","maradi_10","Rien a signalé"
"32",62.5257999976476,"01cf6035-c47e-4038-b8b3-3460e44f4085 | 92c7c6ef-bdc5-4118-8e79-60e2c57338e8","maradi_10","l'enquete a commencé avant la fin de l'enquete precedente"
"33",1251.2656166633,"204058bf-7e4a-4a1c-bbe9-ef7e4f492b8b | 9b8ea873-787b-4690-ad2c-db627be34b03","maradi_11","l'enquete a commencé avant la fin de l'enquete precedente"
"34",1152.28439999819,"9b8ea873-787b-4690-ad2c-db627be34b03 | f545316d-8db4-48b8-acaa-c646f6797e57","maradi_11","l'enquete a commencé avant la fin de l'enquete precedente"
"35",1002.57283333143,"f545316d-8db4-48b8-acaa-c646f6797e57 | 1c1951e0-e0fc-4c4b-8d7d-fbfbc9fe2a3b","maradi_11","l'enquete a commencé avant la fin de l'enquete precedente"
"36",-27.7345499992371,"1c1951e0-e0fc-4c4b-8d7d-fbfbc9fe2a3b | 042fef5c-65f8-4585-bba3-94052da0e901","maradi_11","Rien a signalé"
"37",291.088016664982,"042fef5c-65f8-4585-bba3-94052da0e901 | 36411f62-0506-4f51-860e-f38132f24406","maradi_11","l'enquete a commencé avant la fin de l'enquete precedente"
"38",254.49633333683,"36411f62-0506-4f51-860e-f38132f24406 | 9b352c9f-2f78-4e5b-a7c2-c55d15397fd9","maradi_11","l'enquete a commencé avant la fin de l'enquete precedente"
"39",495.310816669464,"ca446901-92b2-4a61-886f-3d4d59ce3c34 | 7cdafb1a-7aa6-4a8b-9e70-0d244303d4d6","maradi_12","l'enquete a commencé avant la fin de l'enquete precedente"
"40",357.676300001144,"7cdafb1a-7aa6-4a8b-9e70-0d244303d4d6 | 1d2ae62b-8ba1-4e0f-a77b-0dea00b28a55","maradi_12","l'enquete a commencé avant la fin de l'enquete precedente"
"41",-623.076333336035,"1d2ae62b-8ba1-4e0f-a77b-0dea00b28a55 | 251f8bef-63ce-49e8-9252-4311920c6bf7","maradi_12","Rien a signalé"
